english	sign
from october till august	october a tiewrist between
there are 952 people walking around	9 5 2 people walk there
please make yourself at home	please made you home
1006	1 0 0 6
he pulled on his son's ear	he pull son ear
her father died in 2002	her father died 2 0 0 2
do she like flowers	she like flower
raining heavily	rain big
playing tennis is easy for him	play tennis easy him
good to meet you	good meet you
ram saved her from the fire	r a m save her fire
august, september,	a tiewrist s blank s
she wants coffee	she want coffee
please could you help me	please you help me
everyone felt sorry for ghasaan	people know sorry g h a s a a n
you for dinner join us	you join dinner
telling the truth because it is easiest to remember is a leader i want	me want leader say truth because easy know
he was born on 9 september 1962	he born 9 s blank s 1 9 6 2
she is behaving oddly today	she behaviour work odd today
unnecessarily you quarrel with him why	why you unnecessarily quarrel
5465	5 4 6 5
i'm sure i have seen her before	me must me her look past
she is not well	she sick
how long they in foreign	they how time aeroplane stay
he is not fine	he fine no
yesha does not like science	y e s h a no like science
let us meet later	we later me meet can
can we meet sometime	we time some meet can
do not bend and stand straight	upright stand bend no
your socks please take them off	please socks take_off
he wanted to do it for the last 11 months	he like work past 1 1 month
what your dad work	you father doing
you were born on 6 august 1983	you born 6 a tiewrist 1 9 8 3
he likes going to the barber	he like go barber
it is easy for her to play tennis	play tennis easy her
he studied in a school	he go school 
she is busy	she busy
i want to go to the theater	me go theater want
they had to live in the dark to not get caught	light no stay catch no
how long will they live here	how time future they stay here
she forgot to mail the letter	she forgot mail letter
the wrong number was dialed by him	he dial wrong number
please turn off the lights	turn off light please
49 people are walking	4 9 people walk
tennis playing is easy for me	play tennis easy me
my brother passed away in 2012	me brother died 2 0 1 2
what your mama job	you mother doing
alone she warned him not to go	she say him no go alone
i do not want to drink	me drink want no
i was born in august	me born a tiewrist
3964	3 9 6 4
2 people are there in his family	her family 2 people
he will give you a large folder	he you take large folder
today he is behaving weird	he behaviour work odd today
i was born in july	me born j y
very angry he was	he angry
october to march	october m march between
today we will meet	we today meet can
he was very angry	he angry
i was born in june	me born j rain
he wants a eat	he eat something want
why do you care about their affair	you me talk how concern
use the trash don't throw garbage 	garbage no use dustbin
she was born in nashik	she born place n a s h i k
i am glad to help you	me you help happy
3 people are there in my family	me family 3 people
i worked at local nursing homes where this was done successfully	me work local nurse where work good
they were recognized by him	he recognize them
is this dog dead or alive	this dog died or breathe
she has been wanting to do it for the last 14 years	she like work past 1 4 year
near his home there was a fire	his house near fire
finding jahnvi took a while	j a h n v i find time
she was born in mumbai	she born place m u m b a i
do they have soft drink	they keep drink
please your notebook show me	please look you notebook
there are 832 men walking on the road	8 3 2 woman walk there
don't get excited	excite no
her brother passed away in 1998	her brother died 1 9 9 8
she wanted to do it for the last 14 months	she like work past 1 4 month
524	5 2 4
they wanted it not to be used as farmland and to be vacated	they like vacate and no use farmland
she turned 10 on this birthday	she birthday 1 0
she was born in varanasi	she born place v a r a n a s i
with him i went for a trip	me accompany roam
how are he concerned with their affair	his me talk how concern
we at his joke all laughed	we laugh his joke
doing all the right things and working hard has really paid off	work difficult true work now year doing thing and take
he motioned for her to sit down	he say her sit
our president is ram nath govind	r a m n a t h g o v i n d president
all the best	all_the_best
he cannot swim	he know no how swim
in a louder voice please speak	please say big voice
he are complaining always	he everyday complain
is she hungry	she hungry
the outcome of the test makes her anxious	she correct anxious
justice to be served	truth correct wrong help
6 people are there in my family	me family 6 people
what your mama work	you mother doing
they have soft drink	they keep drink
it was published everywhere	published world
pappa just left	father go
do you work	you office go
she has got on my nerves	she me headache
she purchased expensive things	she big money purchase
the country who is our neighbor is pakistan	p a k i s t a n we and country
it is said that she is sick	say she ill
she was born in anantpur	she born place a n a n t p u r
he is fine	he fine
tennis playing is easy for me	play tennis easy me
she was crying in her room	she cry in her room
all night the dog kept barking	dog all night bark
i was born in mumbai in 1996	me born place m u m b a i 1 9 9 6
he was born on 5 august 1911	he born 5 a tiewrist 1 9 1 1
how she know her	she how know her
for 26 years i worked at paper mill	me work write mill 2 6 years
i am going to a theater	me go theater
august may or april	a tiewrist m a y or a blank a
into the girl's eyes she looked	she look in girls eyes
nice to meet you	good meet you
he was born in palani in 1977	he born place p a l a n i 1 9 7 7
all flowers have withered	she bed ill
i understand nothing	me understand nothing
could you give me 1000 rupees	what you me 1 0 0 0 money take
indians are staying in south america	indians stay s o u t h blank a m e r i c a
does she have any ticket left	she keep ticket
she wasn't angry	she angry no
she was born in 1917	she born 1 9 1 7
give me pen	pen give_me
send for the doctor	you must send doctor
her sister passed away in 1984	her sister died 1 9 8 4
she is always dressed in black	she everyday wear black
accept	take
there are 354 men walking in the street	3 5 4 woman walk there
are you interested in flowers	you like flower
my dad just left	me father go
where you like to sit	where you like sit
saturday	saturday
she has written this before but it is worth repeating	she write this past change worth write again
try your gujarathi to improve	try correct you gujarati
he is thinking	he thinking
cash she has	she money have
there her father died	father died
does she want to drink something	she drink something want
a 100 rupees was saved by her	she save 1 0 0 money
there are four people in my family	me family 4 people
interesting it looks	that look me like
he turned 37 on this birthday	he birthday 3 7
the deer was running by itself	deer run itself
she is glad to help him	she him help happy
he is digging his own grave	he dig own grave
you didn't tell him anything	you him no say
can you tell him where is the bathroom	what you tell bathroom where
that is a great idea	that correct idea
he worried about result	he correct anxious
we at her joke all laughed	we laugh her joke
flower is looking beautiful	flower beauty
my mother is a beautiful woman	me mother beauty
let's go have dinner	lets_go eat
today the store is not open	store no open today
he eats dinner at a cafeteria	he eat there cafeteria
she takes dog on walk every morning	she walk their dog every morning
he is on my nerves	he me headache
today the store is not open	store no open today
leave the room	get_out
blue	blue
is she meeting someone here	she someone meet here
listened to me you should have	you listen me
he is accustomed to hardwork	he difficult work
she was born in sakri in 2005	she born place s a k r i 2 0 0 5
i don’t want to see her	me no look her
he wanted to do it for the last 6 months	he like work past 6 month
to him he will give large folder	he him take large folder
nothing she lack	she lack nothing
he was born in faridabad	he born place f a r i d a b a d
they are both good teachers	they both good teacher
she set fire to her house	she lit own house
99 people are walking	9 9 people walk
crushing his enemies was the king	king crush his enemies
she will stay here how long	how time future she stay here
the plane crash took 200 lives	plane accident 2 0 0 die
what is your work	you work what
indians caught pr of canada	indians take p r blank c a n a d a
he was born in nalgonda	he born place n a l g o n d a
english is spoken in america	e n g l i s h say a m e r i c a  
they went to her mother's work place	go mother office
bring your father next time	you father second accompany come 
yesterday they came see you	they come you look past
the story is not famous 	story famous no
cut by someone was my kite string	someone cut me flying_kite
they had to compromise food	food compromize
she was born in gorakhpur	she born place g o r a k h p u r
on TV tonight she is appearing	she appear on TV tonight
the teacher understood his mistake	teacher mistake understand
open the door	open door
i cannot bear to look at it	me no look it
she was born on 24 october 2001	she born 2 4 october 2 0 0 1
this island isn't occupied by many	big people no home this island
she have got the order to shoot you	she order you shoot
they come tomorrow to see you	they come you look tomorrow
august, september,	a tiewrist s blank s
there are 840 women walking around	8 4 0 man walk there
money how much amount	money what
he turned 44 on this birthday	he birthday 4 4
she want to have a cup of coffee	she want cup coffee
yesha likes science	y e s h a like science
settled is the quarrel	quarrel settle
she was born on 25 june 1910	she born 2 5 j rain 1 9 1 0
they have been wanting to do it for the past 30 years	they like work past 3 0 year
india is my country	india me country
80	8 0
she was born in september	she born s blank s
salman passed away in 1991	s a l m a n died 1 9 9 1
please open the door	please open door
he closed the door suddenly	he close door shock
july april or october	j y a blank a or october
they wanted it to be vacated	they like vacate
archery is my favourite sport	a r c h e r y me like game
her result makes her anxious	she correct anxious
widely in india tea is grown	tea widely grow i n d i a
she turned 30 on this birthday	she birthday 3 0
i want more girls to be part of this wonderful sport	me want more girl part wonderful sport
school next year he will change	he change school develop year
she cannot swim	she know no how swim
will you turn on the light	you turn on light
september, october, november, december, january, february, march,	s blank s october n cracker d cold j eid f m march
she is not fine	she  fine no
i don’t like looking at it	me no look it
he was born in navsari	he born place n a v s a r i
tomorrow he came see you	he come you look tomorrow
he come to know her how	he how know her
eleven rooms the house has	house keep 1 1 rooms
the deer itself was running	deer run itself
you were born on 16 march 1993	you born 1 6 m march 1 9 9 3
something to eat you want	you eat something want
he went to goa on sunday	he go g o a sunday
she was born in junagadh	she born place j u n a g a d h
she was born on 2 march 1663	she born 2 m march 1 6 6 3
show me your notebook please	please look you notebook
he is not a clerk	he clerk no
i went with him on a walk	me accompany her roam walk
you are not correct	you wrong
how he know her	he how know her
57 people are walking	5 7 people walk
you were born in february	you born f
i was born in january	me born j eid
i worked at local nursing homes where this was done successfully	me work local nurse where work good
the country was governed by the king	king govern country
a child they said just	must child they say
it is 3 20	time 3 2 0
i started studying a lot more	me study more
he was teacher for 2 years	he teacher 2 year
mend your ways you will have to	you ways mend
he was sorry to hear this	he know sad
how many years you stay abroad	you how time aeroplane stay
59	5 9
she will be back in three hours	she future return hour 3
80002	8 0 0 0 2
756	7 5 6
very angry he was	he angry
i am catching the 11 o' clock train	me sit11 time train
revati passed away in 2015	r e v a t i died 2 0 1 5
he will return in three hours	he future return hour 3
you were born in march	you born m march
how long she stay abroad	she how time aeroplane stay
is it what time	what watch
she will become a doctor	she wish doctor
on wednesday she went to qatar	she go q a t a r wednesday
water	water
her parents were scared	father mother scared
grown widely in india is tea	tea widely grow i n d i a
7 people are there in my family	me family 7 people
she takes dog on walk every morning	she walk their dog every morning
the car raised a cloud of dust	drive raise dust
she wrote about two years in hiding	she write 2 year hidden
254	2 5 4
she set fire to her house	she lit own house
his long speech bored us all	he long speech bored us
hospital	hospital
what's your phone number	you mobile_number what  
please take off your socks	please socks take_off
162	1 6 2
please pay attention	please attention
we meet today	we today meet can
arabic is spoken in oman	a r a b i c say o m a n 
knocking was someone on the door	someone knock door
air	air
he was sick so he was absent	he ill absent
all felt sorry for buthayna	people know sorry b u t h a y n a
there are how many people in your family	you family how_many people
she died when she was 16 years old	she 1 6 died
harder work they resolved to do	they resolve work difficult
she close door suddenly	she close door shock
she does not understand anything	she understand nothing
he worried for result	he correct anxious
61	6 1
41	4 1
my brother passed away in 2012	me brother died 2 0 1 2
what hurt his pride was what i said	me say pain his pride
i will go to america tomorrow	me tomorrow go a m e r i c a
they went to her father's office	go father office
p	p
soccer is my favourite sport	s o c c e r me like game
from may till august	m a y a tiewrist between
sentences that are complete we want	we like complete sentences
she went for me	she me change there go
i believe you like your job	me thinking you like your work
they are accustomed to working hard	they difficult work
wait	wait
i wanted to do it for the last 7 years	me like work past 7 year
her brother passed away in 1995	her brother died 1 9 9 5
you were born in tanda	you born place t a n d a
she was born in bhavnagar in 1936	she born place b h a v n a g a r 1 9 3 6
from july to april	j y a blank a between
they eats dinner at a canteen	they eat there cafeteria
we got tiredfrom her long speech	she long speech bored us
they went to her mom's office	go mother office
there are 377 women walking on the road	3 7 7 man walk there
i love badminton	me like b a d m i n t o n
we shall do our utmost	send we shall utmost
he takes dog on walk every morning	he walk their dog every morning
very well she plays tennis	she play tennis good
she is anxious about tshe result	she correct anxious
excuse me can i sit here	sorry this sit
she is anxious about tshe result	she correct anxious
she has been wanting to do it for the last 5 years	she like work past 5 year
does she want to have coffee	she want coffee
nothing he lack	he lack nothing
he is out of town on business	he town out work
he changed schools last year	he change school past year
her behaviour is very odd today	she behaviour work odd today
china is our neighbouring country	c h i n a accompany our and country
the cricket match was won by west indies	w e s t blank i n d i e s win cricket
crying she was in her room	she cry in her room
today they are behaving odd	they behaviour work odd today
she is anxious about the outcome	she correct anxious
their country they abandoned	they abandon their country
he was born in saranga in 1991	he born place s a r a n g a 1 9 9 1
can you lend me 356 rupees	what you me 3 5 6 money take
open the door	open door
he wants to go to the bathroom	he bathroom go want
assistant	me accompany
she came yesterday to see you	she come you look past
today they are behaving weird	they behaviour work odd today
surviving the world war her mother came out	war world after mother survived
she got the order from the US state department to go to Germany	she take the order u s s t a t e d e p t go g e r m a n y
you have a cold	you sick
do you want to have coffee or tea	you want tea or coffee
29218	2 9 2 1 8
today can you go	you today go can
they have been wanting to do it for the last 7 months	they like work past 7 month
what she says sounds strange	she say sounds strange
with sugar we drink our tea	we drink tea accompany sugar
all people know this book	everyone know book
she sorry her father is out	she sorry she father out
very angry she was 	she angry
he cannot do swimming	he know no how swim
he will next year change his school	he change school develop year
your team is better than ours	you team our good better
they have been wanting to do it for the last 21 years	they like work past 2 1 year
all felt sorry for dhanvant	people know sorry d h a n v a n t
tan	tan
he likes the color brown	he brown like
she was 21 years old when she died	she 2 1 died
355	3 5 5
let's go have dinner	lets_go eat
hungry you are	you hungry
new	new
have you ever written a novel	you ever write book
laughing all of us at her joke	we laugh her joke
you were born in visakhapatnam	you born place v i s a k h a p a t n a m
the town is two kilometers away	town 2 k m away
he has been wanting to do it for the past 21 years	he like work past 2 1 year
october august or may	october a tiewrist or m a y
this problem is easy to solve	this problem easy solve
she in her room was crying	she cry in her room
w	w
please tell me where is the bathroom	please tell bathroom where
could you tell me your mobile number	you mobile_number what  
she was born in gurgaon	she born place g u r g a o n
at the nursing home she worked it was done successfully	she work local nurse where work good
finding jahnvi took a while	j a h n v i find time
he turned 45 on this birthday	he birthday 4 5
she went to goa on sunday	she go g o a sunday
3098	3 0 9 8
mr. narendra modi is our prime minister	m r n a r e n d r a m o d i blank p m
what i said hurt her pride	me say pain her pride
i cannot bear to look at him	me no look him
she doesn't want to drink	she drink want no
everyone speaks well of them	people say good them
he could not swim	he know no how swim
when she was 16 years old she died	she 1 6 died
70 people are walking	7 0 people walk
he will be happy to help you	he you help happy
they eats lunch at a canteen	they eat there cafeteria
she was 99 years old when she died	she 9 9 died
do you want to eat food	you want food
96 people are walking	9 6 people walk
blue	blue
sleep	sleep
46 people are walking	4 6 people walk
shall we go together tomorrow	tomorrow we accompany go
you know him how	you how know him
apples have rotten	apple worm rotten
he is acting odd today	he behaviour work odd today
at home make yourself please	please made you home
in three hours he will return	he future return hour 3
576	5 7 6
he will give you a large folder	he you take large folder
sorry my father is not home	me sorry me father out
a fire broke out near my house	my house near fire
she was born on 25 may 1980	she born 2 5 m a y 1 9 8 0
a dangerous place it was	danger place
my family has four people	me family 4 people
shooting is my favourite sport	s h o o t i n g me like game
let's go have breakfast	lets_go eat
let's go have dinner	lets_go eat
he was born in february	he born f
he was born in pilani	he born place p i l a n i
instead of me she went there	she me change there go
hi what is your name	hello you name what
she was born in chakra in 2002	she born place c h a k r a 2 0 0 2
there are 980 women walking in the street	9 8 0 man walk there
his brother passed away in 1977	his brother died 1 9 7 7
october to september	october s blank s between
everyone felt sorry for shobhana	people know sorry s h o b h a n a
69 people are walking	6 9 people walk
she knew the story already	she know story past
he bought many expensive things	he big money purchase
three times she has seen me	she look me 3
my father passed away in 1984	me father died 1 9 8 4
why is he bothered about their affair	his me talk how concern
it is available in many languages	translated big different languages
all the money has been spent	all money spend
when he was 13 years old he died	he 1 3 died
she look nice in that dress	she look beauty dress
when she was 32 years old she died	she 2 9 died
she will be back before long	she come back long
would she like to have tea	she want tea or coffee
will the light turn on	you turn on light
clean the room please	please room clean
there are 341 people walking in the street	3 4 1 people walk there
she was born in vaikam in 1945	she born place v a i k a m 1 9 4 5
he went to chennai on friday	he go c h e n n a i friday
i'm ordered to shoot you	me order you shoot
you were born in february	you born f
she went to qatar on wednesday	she go q a t a r wednesday
do you remember what she said	you she tell know
he shut the door suddenly	he close door shock
he is angry	he angry
did you finish homework	you homework finish did
she shouldn't book tickets	she ticket bookv no
i went with him on a walk	me accompany her roam walk
we should keep our promises	we promises keep
it is the same for everyone	this same everyone
everyday feed the dog please	please feed dog everyday
half of the apples are spoilt	half apple worm rotten
take him to the bathroom	him bathroom go
she was allowed by him to go alone	he allow her go alone
everyone felt sorry for poornanand	people know sorry p o o r n a n a n d
i love swimming	me like s w i m m i n g
why don't you come visit us	why no come visit
there was a fire nearby her house	her house near fire
it was a dangerous place	danger place
he wanted to do it for the past 22 years	he like work past 2 2 year
shirts washed she wants	she shirt like wash_clothes
she was born on 15 september 1954	she born 1 5 s blank s 1 9 5 4
she studied literature	she study literature
he learned a lot of music poetry and literature	he study more music poem literature
have you ever written a poem	you ever write poem
she is not a clerk	she clerk no
they made many expensive purchases	they big money purchase
we at the news were surprsed	we surprise news
full of valleys and fountains i will be	me be complete valleys fountains
i have worked hard this year and done all the correct things and it has paid off	work difficult true work now year doing thing and take
we want sentences which are complete	we like complete sentences
could you tell me your mobile number	you mobile_number what  
things occur often	thing occurs everyday
how this poem you understand	you how interpret this poem
india is famous for cricket	india famous cricket
i love rugby	me like r u g b y
she was born on 12 july 1986	she born 1 2 j y 1 9 8 6
they have been wanting to do it for the past 30 years	they like work past 3 0 year
he come tomorrow to see you	he come you look tomorrow
on thursday she went to kerala	she go k e r a l a thursday
they eats food at a cafeteria	they eat there cafeteria
for kiran's letter it is an answer	answer k i r a n letter
8 people are there in his family	his family 8 people
one of the useful animal is the horse	horse use animal
danish is spoken in denmark	d a n i s h say d e n m a r k
she was born in panvel	she born place p a n v e l
you have a cold	you sick
559	5 5 9
beware don't utter it again	alert second tell no
frequently such a thing occurs	thing occurs everyday
she set fire to her house	she lit own house
she in that dress look nice	she look beauty dress
she is sick	say she ill
i started studying a lot more	me study more
i view it as a necessary but undesirable 	me view necessary undesirable
finding jahnvi took a while	j a h n v i find time
you were born in october	you born october
moving on	moving_on
july february and october	j y f and october
he angry	he angry
are you mad	you angry
no smoking	smoking no
i turned this into a schedule	me change that schedule
everyone had to work	everyone work
february, march, april, may, june, july, august, september,	f m march a blank a m a y j rain j y a tiewrist s blank s
such a kind woman i've never met	me no meet kind women
dust was raised by the car	drive raise dust
she was born in february	she born f
what your mother work	you mother doing
i was born in november	me born n cracker
sometime can we meet	we time some meet can
answer	answer
always their clothes smelly	they shirt waste smell
a 100 rupees was saved by her	she save 1 0 0 money
567	5 6 7
we enjoyed ourselves a lot	we really enjoyable our
sunday he will have duty	he future duty this sunday
money he has	he money have
how you come to know him	you how know him
i started studying a lot more	she study more
8 people are there in his family	her family 8 people
she wants to eat something	she eat something want
do you want something to drink	you drink something want
she turned 42 on this birthday	she birthday 4 2
he will have duty on sunday	he future duty this sunday
does he work	he office go
he sorry his father is out	he sorry he father out
70 people are walking	7 0 people walk
this poem how he understand	he how interpret this poem
ajagandha died in 1995	a j a g a n d h a died 1 9 9 5
shall i help you	me help you
he was born on 30 november 1963	he born 3 0 n cracker 1 9 6 3
excuse me but can you help me	sorry you help me
he has been wanting to do it for the past 22 years	he like work past 2 2 year
sumesh died in 2009	s u m e s h died 2 0 0 9
i was laughed at by everyone	everyone me laugh
she was working on the farm for the entire day	her work farmland day
they did not allow her to meet her	she allow meet her no
it took me a while to find sapna	s a p n a find time
i love pool	me like p o o l
what's your mobile number	you mobile_number what  
i reject this view completely	me reject this view complete
flying kite is dangerous	kite danger
x	x
89	8 9
open the door please	please open door
they have been wanting to do it for the past 30 years	they like work past 3 0 year
16 people are walking	1 6 people walk
they went to chennai on friday	they go c h e n n a i friday
she has blue eyes and fair hair	she blue eyes good hair
july february and october	j y f and october
i was born in amritsar	me born place a m r i t s a r
which place you live	you stay where
headache he give me	he me headache
we meet sometime	we time some meet can
you have money	you money have
barren land	piece this cultivation no
barely rains here	here hardly rain
his long speech was boring	he long speech bored us
many people live in this island	big people home this island
when you are busy	you when busy
today can we meet	we today meet can
they eats lunch at a canteen	they eat there cafeteria
october	october
does he want tea	he want tea or coffee
john wants to go to the bathroom	j o h n bathroom go want
she is acting odd today	she behaviour work odd today
i can't bear the sight of him	me no look him
he was born in navsari	he born place n a v s a r i
how long have you been abroad	you how time aeroplane stay
her grandmother died in 1983	her grandmother died 1 9 8 3
today they are behaving weird	they behaviour work odd today
what your mother work	you mother doing
it took her some time to find jahnvi	j a h n v i find time
my brother passed away in 1964	me brother died 1 9 6 4
home of the seagull i will be	me be home seagull
i feel sad to hear this	me know sad
i was disappointed to know this	me know sad
does he want coffee	he want coffee
he will stay here how long	how time future he stay here
is it possible to borrow money	what money you take
she bored us with her long speech	she long speech bored us
on saturday they went to alibaug	they go a l i b a u g saturday
what is your name	you name what
the place was dangerous	danger place
78 people are walking	7 8 people walk
she is a homemaker	she home homemaker
barren land	piece this cultivation no
2 people are there in his family	his family 2 people
she going to meet someone here	she someone meet here
can i have the key now	me now keys take
the matters settle somehow	somehow settle matter
she was born in vaikam in 1945	she born place v a i k a m 1 9 4 5
you are busy	you busy
dust was raised by the car	drive raise dust
seagull home i will be	me be home seagull
i have to put the baby to bed	me baby bed
finding jahnvi took a while	j a h n v i find time
my brother died in 2010	me brother died 2 0 1 0
she sorry her father is out	she sorry she father out
he turned 44 on this birthday	he birthday 4 4
d	d
i motioned for her to sit down	me say her sit
october till february	october f between
hungry she is	she hungry
he was disappointed to know this	he know sad
what's your name	you name what
march december or january	m march d cold or j eid
written to who last letter	past letter who write
she is not being a beatician	she no be beauty
shirts washed she wants	she shirt like wash_clothes
doing nothing i am bored	me bored doing nothing
they outcome of they test makes them worried	they correct anxious
she went to chennai on friday	she go c h e n n a i friday
today is the birthday of my sister	today me sister birthday
she know to drive	she know how drive
the vase to pieces was broken	vase broken pieces
did you have your lunch	you lunch finish
doing nothing he is bored	he bored doing nothing
966	9 6 6
at the nursing home i worked it was done good	me work local nurse where work good
it was easy for me to do so	that me easy work
she is being a beautician	she be beauty
sorry to know this	me know sad
a teacher saw her talking in class	teacher look talk teacher
can you take him to the toilet	what you him bathroom go
i don’t like looking at him	me no look him
did you ever go to dubai	you ever d u b a i
they did not allow her to meet anyone	she allow meet no
buffalo	buffalo
how are he concerned with their affair	his me talk how concern
he was born in srinagar	he born place s r i n a g a r
i am not being a musician	me no be musician
i have written to her a couple times and asked her to stop sending me used clothes	me write letter again 1 2 3 4 write say close send smell shirt
annabelle is beautiful	a n n a b e l l e is beautiful
he went to another town on business	he town out work
i am telling you to stop smoking	me you close smoking
the king governed the country	king govern country
she is not being a musician	she no be musician
we our promises should keep	we promises keep
they have been wanting to do it for the past 12 months	they like work past 1 2 month
you don't come visit us why	why no come visit
have you ever been to dubai	you ever d u b a i
there are 804 people walking in the street	8 0 4 people walk there
i don't understand anything	me understand nothing
she will be happy to help you	she you help happy
indians have dark eyes	indians have black eyes
clean the room please	please room clean
424	4 2 4
a cat is under the desk	there cat under desk
they were suffering in pain	suffered pain
february, march,	f m march
they told me the rule	they rule me
21 people are walking	2 1 people walk
she doesn't want to eat	she eat want no
you were born on 7 october 1981	you born 7 october 1 9 8 1
on a roof the bird is a crow	bird on home crow
for you that is no business	no work you
i love pool	me like p o o l
are she interested in flowers	she like flower
start	start
sick	sick
he has fair hair and blue eyes	he good hair blue eyes
they are on my nerves	they me headache
the number of rooms in the house are eleven	house keep 1 1 rooms
21	2 1
he is hungry	he hungry
there her mother died	mother died
she is beautiful	she beauty
6 people are there in his family	her family 6 people
she started writing her diary when she was 13 years old	she d i a r y start write when  1 3 old
there are 696 men walking on the road	6 9 6 woman walk there
she is pleased to help him	she him help happy
please could you help me	please you help me
cow	cow
she don’t want to see it	she no look it
he wants tea	he want tea or coffee
he was born in bhuj	he born place b h u j
she is pleased to help her	she her help happy
our neighbor country is pakistan	p a k i s t a n we and country
his brother passed away in 1977	his brother died 1 9 7 7
she was born in april	she born a blank a
it was about father mother and three baby ducklings	father mother 3 ducklings baby
i was working on the farm for the entire day	me work farmland day
have you ever been to india	you ever i n d i a
food had to be sacrificed	food compromize
richa died in 2007	r i c h a died 2 0 0 7
he was born in october	he born october
for my child i want the best education	me want me child have best education
his absence was due to illness	he ill absent
i am bored doing nothing	me bored doing nothing
how many years she live abroad	she how time aeroplane stay
no break your promise	no cancel you promise
there are 186 men walking around	1 8 6 woman walk there
ajagandha died in 1995	a j a g a n d h a died 1 9 9 5
k	k
tuesday she will have duty	she future duty this tuesday
from the fire rahul saved her	r a h u l save her fire
bookcase had hidden rooms behind it	bookcase behind hidden room
some issue you have	what problem
do they speak english	they tell english
it was a pitch dark and extremely cold night	dark and big cold night
she takes dog on walk every morning	she walk their dog every morning
in three hours she will come back	she future return hour 3
2 people are there in his family	his family 2 people
that is because you are a boy	you boy
have you ever written a novel	you ever write book
i like to not go shopping	me like go shopping
he is sick	he sick
tomorrow she come to see you	she come you look tomorrow
she had left her diary behind	she d i a r y left
i will go to america tomorrow	me tomorrow go a m e r i c a
wait for sometime please	please time some wait
i was born in bhadath in 1956	me born place b h a d a t h 1 9 5 6
most people like watching tv	big people like look t v
hr	hr
i love athletics	me like a t h l e t i c s
sushobhana passed away in 2002	s u s h o b h a n a died 2 0 0 2
1006	1 0 0 6
you know him how	you how know him
he is acting weird today	he behaviour work odd today
since then she did not see him	she no look her time then
i am going to put the baby to bed	me baby bed
you didn't tell him anything	you him no say
he made many costly purchases	he big money purchase
you have a very short temper	you big temper
very short tempered you are	you big temper
there are 362 people walking on the road	3 6 2 people walk there
does she want to drink coffee or tea	she want tea or coffee
she had written about two years in hiding	she write 2 year hidden
athletics is my favorite game	a t h l e t i c s me like game
money he has	he money have
there are 153 women walking on the road	1 5 3 man walk there
communicate	talk 
salary	salary
they have been wanting to do it for the past 28 months	they like work past 2 8 month
from october to september	october s blank s between
he is worried about the test outcome	he correct anxious
you a secret should have kept it	you keep secret
is south of india	south i n d i a
28 people are walking	2 8 people walk
i was born in gandhinagar in 1933	me born place g a n d h i n a g a r 1 9 3 3
i have been wanting to do it for the last 24 months	me like work past 2 4 month
pink	pink
i was born in somnath	me born place s o m n a t h
headache he give me	he me headache
how you know him	you how know him
all felt sorry for malaya	people know sorry m a l a y a
give me pen	pen give_me
he wants tea	he want tea or coffee
talish died in 2002	t a l i s h died 2 0 0 2
she has turned it into a schedule	she change that schedule
i took a while to find sapna	s a p n a find time
i am looking pretty	me beauty
you look pretty	you beauty
he wanted to do it for the past 22 years	he like work past 2 2 year
my sister is gorgeous	me sister beauty
my mother died in 2002	me mother died 2 0 0 2
it is easy for me to play tennis	play tennis easy me
she was sorry to hear this	she know sad
he is acting odd	he behaviour work odd today
she wanted those shirts washed	she shirt like wash_clothes
it is no use arguing with him	her talk no work
sarvesh passed away in 2000	s a r v e s h died 2 0 0 0
it was very hard but she wrote it	she write difficult
he had left her diary behind	he d i a r y left
she turned 21 on this birthday	she birthday 2 1
i like to shop	me like shopping
can you go today	you today go can
974	9 7 4
the soldiers threatened them	soldiers threaten
he will be happy to help you	he you help happy
our neighbors we should love	we like our and
it appears that they are honest	they recognize they truth
don't stretch the matter	matter close
she was born on 12 july 1929	she born 1 2 j y 1 9 2 9
sit down on the chair	you sit on chair
what is done can't be undone	complete no undone
as many books as possible read	read big book like
she turned 34 on this birthday	she birthday 3 4
there are 696 men walking on the road	6 9 6 woman walk there
she was born in thane	she born place t h a n e
he view it as undesirable but a necessary	he view necessary undesirable
let us meet tomorrow	we tomorrow meet can
he was born on 27 march 1987	he born 2 7 m march 1 9 8 7
would she like to have coffee	she want coffee
she was born on 9 september 1939	she born 9 s blank s 1 9 3 9
in three hours she will return	she future return hour 3
assamese is spoken in assam	a s s a m e s e say a s s a m
he kept her diary there	he d i a r y left
she has fair hair and blue eyes	she good hair blue eyes
it seems interesting to me	that look me like
every morning he takes their dog for walk	he walk their dog every morning
4 people are there in her family	her family 4 people
63 people are walking	6 3 people walk
my family does not have four people	me family 4 people no
which place you live	you stay where
pakistan is our neighbouring country	p a k i s t a n accompany our and country
the country neighboring us is pakistan	p a k i s t a n we and country
you were born in february	you born f
she got sick suffered and died	she sick suffered died
my name is sanjay	me name s a n j a y
he pulled his girl by the ear	he pull girl ear
as many books as possible read	read big book like
a	a
he was born in april	he born a blank a
418	4 1 8
she has to answer his letter	she answer her letter
she was born in april	she born a blank a
i went with him on a walk	me accompany her roam walk
his father went to work	go he father office
every other day he takes bath	he bath every_other_day
did you have your food	you food finish
they give me headache	they me headache
she went out of town for work	she town out work
there are 680 women walking around	6 8 0 man walk there
he read the diary and started crying	he read d i a r y tears
photo of the family 	family picture
how was the weather yesterday	past how weather
they cannot swim	they know no how swim
